filename,filepath,pragma,resolved_solc_version,analysis_status,access_control_category,access_control_detected,slither_detectors,SWC,CWE,severity,confidence,evidence,relevance_notes
0x0000000000027f6d87be8ade118d9ee56767d993.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000027f6d87be8ade118d9ee56767d993.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000000085d4780b73119b644ae5ecd22b376.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000085d4780b73119b644ae5ecd22b376.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000000da14c27c155bb7c1ac9bd7519eb3b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000000da14c27c155bb7c1ac9bd7519eb3b.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000000fe8503db73c68f1a1874eb9d86883.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000000fe8503db73c68f1a1874eb9d86883.sol,pragma solidity 0.5.0;,0.5.0,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000002b13cccec913420a21e4d11b2dcd3c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000002b13cccec913420a21e4d11b2dcd3c.sol,pragma solidity 0.5.6;,0.5.6,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000000377d181a0ebd08590c6b399b272000.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000377d181a0ebd08590c6b399b272000.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000000000063b99b8036c31e91c64fc89bff9ca7.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000000063b99b8036c31e91c64fc89bff9ca7.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000000b3f879cb30fe243b4dfee438691c04.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000b3f879cb30fe243b4dfee438691c04.sol,pragma solidity ^0.4.10;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000000c5fd1aef1a9421626cf804086185e9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000c5fd1aef1a9421626cf804086185e9.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000037790973600b70888431f463bce360d.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000037790973600b70888431f463bce360d.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
