filename,filepath,pragma,resolved_solc_version,analysis_status,detector_count,detectors,SWCs,CWEs,execution_time_seconds
0x0000000000027f6d87be8ade118d9ee56767d993.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000027f6d87be8ade118d9ee56767d993.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,7,events-access;external-function;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,2.607
0x0000000000085d4780b73119b644ae5ecd22b376.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000085d4780b73119b644ae5ecd22b376.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.939
0x00000000000da14c27c155bb7c1ac9bd7519eb3b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000000da14c27c155bb7c1ac9bd7519eb3b.sol,pragma solidity ^0.4.23;,0.4.23,SUCCESS,4,reentrancy-events;solc-version;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.754
0x00000000000fe8503db73c68f1a1874eb9d86883.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000000fe8503db73c68f1a1874eb9d86883.sol,pragma solidity 0.5.0;,0.5.0,SUCCESS,92,constable-states;events-access;external-function;missing-zero-check;naming-convention;reentrancy-events;shadowing-local;solc-version,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.899
0x00000000002b13cccec913420a21e4d11b2dcd3c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000002b13cccec913420a21e4d11b2dcd3c.sol,pragma solidity 0.5.6;,0.5.6,SUCCESS,18,assembly;locked-ether;low-level-calls;reentrancy-benign;reentrancy-events;solc-version;unchecked-lowlevel;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.670
0x0000000000377d181a0ebd08590c6b399b272000.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000377d181a0ebd08590c6b399b272000.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,11,assembly;cache-array-length;external-function;locked-ether;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.695
0x000000000063b99b8036c31e91c64fc89bff9ca7.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000000063b99b8036c31e91c64fc89bff9ca7.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,4,assembly;locked-ether;solc-version,UNKNOWN,UNKNOWN,3.654
0x0000000000b3f879cb30fe243b4dfee438691c04.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000b3f879cb30fe243b4dfee438691c04.sol,pragma solidity ^0.4.10;,0.4.26,SUCCESS,18,assembly;calls-loop;constant-function-asm;low-level-calls;naming-convention;reentrancy-no-eth;solc-version;unchecked-lowlevel,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.501
0x0000000000c5fd1aef1a9421626cf804086185e9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000000c5fd1aef1a9421626cf804086185e9.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,36,assembly;constant-function-asm;controlled-array-length;events-maths;mapping-deletion;missing-zero-check;naming-convention;reentrancy-unlimited-gas;shadowing-local;solc-version;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.565
0x00000000037790973600b70888431f463bce360d.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000037790973600b70888431f463bce360d.sol,pragma solidity 0.4.26;,0.4.26,SUCCESS,34,assembly;constant-function-asm;controlled-array-length;events-maths;mapping-deletion;missing-zero-check;naming-convention;reentrancy-unlimited-gas;solc-version;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.671
0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,19,arbitrary-send-erc20;arbitrary-send-eth;assembly;divide-before-multiply;external-function;incorrect-equality;low-level-calls;missing-zero-check;naming-convention;reentrancy-balance;reentrancy-events;reentrancy-unlimited-gas;solc-version,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.671
0x000000002bb43c83ece652d161ad0fa862129a2c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000002bb43c83ece652d161ad0fa862129a2c.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,115,assembly;constable-states;controlled-array-length;divide-before-multiply;incorrect-equality;locked-ether;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;timestamp;unchecked-transfer;unused-state,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.243
0x00000000441378008ea67f4284a57932b1c000a5.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000441378008ea67f4284a57932b1c000a5.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.548
